Time,Open,High,Low,Close,Volume
2019.04.08 00:00:00,1.12139,1.12741,1.12101,1.12616,36921
2019.04.05 00:00:00,1.122,1.12476,1.12096,1.12152,48931
2019.04.04 00:00:00,1.12324,1.12472,1.12056,1.12191,52145
2019.04.03 00:00:00,1.12037,1.12543,1.11995,1.12312,55770
2019.04.02 00:00:00,1.12121,1.12157,1.11833,1.12033,59687
2019.04.01 00:00:00,1.12258,1.12496,1.12036,1.12117,64053
2019.03.29 00:00:00,1.12261,1.12463,1.12094,1.12166,70101
2019.03.28 00:00:00,1.12508,1.12609,1.12132,1.12259,73375
2019.03.27 00:00:00,1.12698,1.12852,1.12418,1.12508,81548
2019.03.26 00:00:00,1.13125,1.13256,1.12627,1.12699,63123
2019.03.25 00:00:00,1.12934,1.1331,1.12885,1.13125,60222
2019.03.22 00:00:00,1.13727,1.13903,1.12729,1.13006,79566
2019.03.21 00:00:00,1.14238,1.14369,1.1342,1.13727,71203
2019.03.20 00:00:00,1.13491,1.14477,1.1335,1.14238,66875
2019.03.19 00:00:00,1.13348,1.13612,1.13332,1.13492,42956
2019.03.18 00:00:00,1.1323,1.13586,1.13186,1.13349,43144
2019.03.15 00:00:00,1.1304,1.13439,1.12996,1.13237,49268
2019.03.14 00:00:00,1.133,1.13372,1.12938,1.13043,63552
2019.03.13 00:00:00,1.12877,1.13383,1.1277,1.13301,54741
2019.03.12 00:00:00,1.12484,1.13046,1.12469,1.12877,72484
2019.03.11 00:00:00,1.12345,1.1258,1.12214,1.12485,54307
2019.03.08 00:00:00,1.11929,1.12457,1.11848,1.12324,67076
2019.03.07 00:00:00,1.13058,1.13198,1.11756,1.11923,70529
2019.03.06 00:00:00,1.13067,1.13243,1.12852,1.13053,52094
2019.03.05 00:00:00,1.13393,1.13406,1.12892,1.13069,56132
2019.03.04 00:00:00,1.13734,1.1381,1.13087,1.13386,58233
2019.03.01 00:00:00,1.13697,1.14081,1.13529,1.13626,64344
2019.02.28 00:00:00,1.13692,1.14192,1.1359,1.13696,71924
2019.02.27 00:00:00,1.13887,1.14032,1.13619,1.13685,62231
2019.02.26 00:00:00,1.13564,1.14024,1.13447,1.1388,63522
2019.02.25 00:00:00,1.13332,1.13671,1.1327,1.1356,55710
2019.02.22 00:00:00,1.13319,1.13552,1.13157,1.13303,58498
2019.02.21 00:00:00,1.13368,1.1366,1.13197,1.1333,74361
2019.02.20 00:00:00,1.13399,1.13707,1.13243,1.13351,62866
2019.02.19 00:00:00,1.13087,1.13571,1.1275,1.13394,63496
2019.02.18 00:00:00,1.12917,1.13335,1.12886,1.13081,39401
2019.02.15 00:00:00,1.1295,1.13058,1.12336,1.12905,63578
2019.02.14 00:00:00,1.12609,1.13095,1.12488,1.12939,69496
2019.02.13 00:00:00,1.13261,1.1341,1.12595,1.12595,58633
2019.02.12 00:00:00,1.12743,1.13392,1.12573,1.13246,51206
2019.02.11 00:00:00,1.13196,1.13296,1.12675,1.12748,47074
2019.02.08 00:00:00,1.13374,1.13505,1.13206,1.13217,45125
2019.02.07 00:00:00,1.13612,1.1368,1.13242,1.13385,55495
2019.02.06 00:00:00,1.14038,1.14091,1.13604,1.13607,51390
2019.02.05 00:00:00,1.14351,1.14401,1.14007,1.14043,52222
2019.02.04 00:00:00,1.14506,1.146,1.14239,1.1435,56412
2019.02.01 00:00:00,1.14468,1.1488,1.14339,1.14529,68138
2019.01.31 00:00:00,1.14789,1.15139,1.14353,1.14461,79532
2019.01.30 00:00:00,1.14315,1.15013,1.14057,1.14779,80118
2019.01.29 00:00:00,1.14253,1.14498,1.14108,1.1432,77196
