Time,Open,High,Low,Close,Volume
2019.03.27 22:00:00,1.1251,1.1251,1.12433,1.12458,474
2019.03.27 21:00:00,1.12636,1.12639,1.12469,1.12509,2459
2019.03.27 20:00:00,1.12534,1.12649,1.12518,1.12636,3066
2019.03.27 19:00:00,1.12624,1.12672,1.12509,1.12535,3861
2019.03.27 18:00:00,1.12503,1.12654,1.12435,1.12624,6096
2019.03.27 17:00:00,1.12515,1.12564,1.12418,1.12506,7185
2019.03.27 16:00:00,1.12582,1.12601,1.12435,1.12515,6482
2019.03.27 15:00:00,1.1271,1.12716,1.12478,1.12581,7151
2019.03.27 14:00:00,1.12802,1.12825,1.12658,1.1271,6434
2019.03.27 13:00:00,1.12773,1.1284,1.12676,1.12802,4016
2019.03.27 12:00:00,1.12798,1.12852,1.12742,1.12773,5296
2019.03.27 11:00:00,1.12753,1.12849,1.12696,1.12798,4082
2019.03.27 10:00:00,1.12516,1.12778,1.12496,1.12752,6688
2019.03.27 09:00:00,1.12655,1.12659,1.12464,1.12516,4256
2019.03.27 08:00:00,1.12568,1.12664,1.12561,1.12657,1605
2019.03.27 07:00:00,1.12574,1.12593,1.12533,1.12568,1048
2019.03.27 06:00:00,1.12524,1.12578,1.12524,1.12574,1126
2019.03.27 05:00:00,1.12565,1.12568,1.12523,1.12524,730
2019.03.27 04:00:00,1.12551,1.12572,1.12506,1.12565,1612
2019.03.27 03:00:00,1.12668,1.12669,1.12546,1.12552,2532
2019.03.27 02:00:00,1.12735,1.12738,1.12609,1.12668,1893
2019.03.27 01:00:00,1.1275,1.12762,1.1273,1.12735,712
2019.03.27 00:00:00,1.12698,1.12767,1.12685,1.1275,862
2019.03.26 23:00:00,1.12646,1.12722,1.12627,1.12699,1376
2019.03.26 22:00:00,1.12689,1.1271,1.12628,1.12647,1297
2019.03.26 21:00:00,1.12768,1.12806,1.12647,1.12689,2386
2019.03.26 20:00:00,1.12828,1.12832,1.12758,1.12768,2172
2019.03.26 19:00:00,1.12879,1.12943,1.12777,1.12828,3193
2019.03.26 18:00:00,1.12787,1.129,1.12787,1.12879,3408
2019.03.26 17:00:00,1.12974,1.12982,1.12776,1.12787,4157
2019.03.26 16:00:00,1.12849,1.12997,1.12849,1.12972,5488
2019.03.26 15:00:00,1.12874,1.12959,1.12797,1.12849,5543
2019.03.26 14:00:00,1.13102,1.13114,1.12843,1.12874,5771
2019.03.26 13:00:00,1.13229,1.13256,1.13084,1.13103,3654
2019.03.26 12:00:00,1.13165,1.13255,1.13143,1.1323,3730
