"Date","Time","Open","High","Low","Close","Up","Down"
01/05/2018,05:31,316.62,316.75,315.00,315.69,59314,26418
01/05/2018,05:32,315.74,316.32,314.00,314.40,13210,30599
01/05/2018,05:33,314.28,315.20,313.50,314.84,18410,15320
01/05/2018,05:34,314.85,314.88,313.62,313.84,8442,8999
01/05/2018,05:35,313.72,314.44,313.33,313.81,9755,14497
01/05/2018,05:36,313.63,314.11,313.52,313.94,13056,5802
01/05/2018,05:37,314.04,314.71,313.94,314.35,15164,11462
01/05/2018,05:38,314.20,314.33,314.09,314.15,3400,7072
01/05/2018,05:39,314.15,315.11,314.15,315.11,16814,11507
01/05/2018,05:40,315.12,315.40,314.86,314.88,9633,7538
01/05/2018,05:41,314.89,315.32,314.49,314.92,7767,10769
01/05/2018,05:42,315.10,315.30,314.65,314.65,6556,7808
01/05/2018,05:43,314.72,314.72,314.09,314.54,10523,13345

01/05/2018,05:46,314.55,315.16,314.47,314.53,19947,8147
01/05/2018,05:47,314.50,314.50,313.84,314.42,12032,18304
01/05/2018,05:48,314.26,314.72,314.11,314.70,3764,2200
01/05/2018,05:49,314.68,315.17,314.24,314.49,3955,7212
01/05/2018,05:50,314.29,314.81,314.16,314.36,5831,5036
01/05/2018,05:51,314.30,314.78,314.25,314.57,7539,6057
01/05/2018,05:52,314.51,314.88,314.41,314.88,2865,4370
01/05/2018,05:53,314.89,315.25,314.78,315.23,6099,3585
01/05/2018,05:54,315.05,315.70,315.00,315.39,16963,9797
01/05/2018,05:55,315.40,315.63,315.30,315.50,4870,5528
01/05/2018,05:56,315.60,316.14,315.35,315.75,6929,8452
01/05/2018,05:57,315.89,316.00,315.69,315.97,5388,5147
01/05/2018,05:58,315.88,316.15,315.74,316.15,2700,3950
01/05/2018,05:59,316.16,316.30,315.65,315.95,10975,6699
01/05/2018,06:00,315.95,316.05,315.54,315.59,7070,4898
01/05/2018,06:01,315.67,315.93,315.26,315.26,4850,9660
01/05/2018,06:02,315.31,315.70,315.21,315.56,3893,4792
01/05/2018,06:03,315.57,315.70,315.25,315.67,7017,5640
01/05/2018,06:04,315.75,315.81,315.05,315.27,5516,14084







01/05/2018,06:17,313.86,314.26,313.68,314.10,8280,13127
01/05/2018,06:18,314.12,314.44,313.98,314.42,4700,3562
01/05/2018,06:19,314.38,314.38,313.99,313.99,4031,9754
01/05/2018,06:20,314.05,314.29,313.99,314.26,3900,1000
01/05/2018,06:21,314.29,314.46,314.14,314.28,3600,1200
01/05/2018,06:22,314.21,314.22,314.11,314.16,1100,2400
01/05/2018,06:23,314.13,314.13,313.88,313.98,3599,2612
01/05/2018,06:24,314.00,314.10,313.51,313.72,7660,9105
01/05/2018,06:25,313.70,313.98,313.49,313.69,4675,7845
01/05/2018,06:26,313.67,313.82,313.60,313.73,1648,3950
01/05/2018,06:27,313.62,313.88,313.60,313.73,6350,5680
01/05/2018,06:28,313.68,313.98,313.68,313.89,1400,1650
01/05/2018,06:29,313.98,314.10,313.56,313.66,4131,4539
01/05/2018,06:30,313.64,313.79,313.33,313.50,7884,19245
01/05/2018,06:31,313.61,313.69,313.33,313.38,6130,6584
01/05/2018,06:32,313.36,313.56,313.00,313.48,7302,9078
01/05/2018,06:33,313.42,313.75,313.39,313.49,4400,6313
01/05/2018,06:34,313.40,313.60,313.35,313.58,5315,2400
01/05/2018,06:35,313.59,313.84,313.58,313.58,7748,3232
01/05/2018,06:36,313.64,313.78,313.61,313.74,13050,4172
01/05/2018,06:37,313.63,313.69,313.40,313.45,11362,12700
01/05/2018,06:38,313.45,313.49,313.21,313.38,4831,12095
01/05/2018,06:39,313.27,313.30,313.00,313.12,3600,17372
01/05/2018,06:40,313.14,313.47,313.13,313.33,3902,4294
01/05/2018,06:41,313.37,313.61,313.30,313.43,1798,1690
01/05/2018,06:42,313.45,313.64,313.45,313.58,2950,555
01/05/2018,06:43,313.61,313.64,313.31,313.31,1417,3978
01/05/2018,06:44,313.29,313.31,313.00,313.00,1600,8833
01/05/2018,06:45,313.08,313.48,312.85,313.14,16236,24966
01/05/2018,06:46,313.15,313.35,313.05,313.30,8017,7586
01/05/2018,06:47,313.30,313.40,313.14,313.14,3460,7027
01/05/2018,06:48,313.06,313.16,312.99,312.99,2416,11080
01/05/2018,06:49,313.06,313.06,312.62,312.62,8440,10358
01/05/2018,06:50,312.57,312.81,312.50,312.72,8525,11777
01/05/2018,06:51,312.72,313.10,312.65,313.10,8631,3993
01/05/2018,06:52,313.03,313.04,312.65,312.65,790,6166
01/05/2018,06:53,312.68,312.81,312.57,312.64,3425,7019
01/05/2018,06:54,312.64,312.76,312.51,312.65,3100,9179
01/05/2018,06:55,312.60,312.62,312.30,312.37,5220,12334
01/05/2018,06:56,312.46,312.75,312.00,312.47,17060,19414
01/05/2018,06:57,312.48,312.59,312.32,312.51,2271,4272
01/05/2018,06:58,312.56,313.05,312.49,312.89,11517,5571
01/05/2018,06:59,312.97,313.20,312.70,313.20,5603,7465
01/05/2018,07:00,313.21,313.60,313.21,313.51,20025,12837
01/05/2018,07:01,313.51,313.55,313.21,313.38,8710,9601
01/05/2018,07:02,313.37,313.50,313.28,313.45,4393,4753
01/05/2018,07:03,313.47,313.79,313.47,313.71,8778,7374
01/05/2018,07:04,313.72,313.75,313.45,313.71,9379,8838
01/05/2018,07:05,313.74,313.90,313.66,313.76,3950,3100
01/05/2018,07:06,313.80,313.80,312.84,313.06,7577,18509
01/05/2018,07:07,313.10,313.27,313.00,313.03,5100,3934
01/05/2018,07:08,313.07,313.15,312.97,313.09,4177,1862
01/05/2018,07:09,313.15,313.33,313.09,313.33,3992,1800
01/05/2018,07:10,313.25,313.27,313.10,313.17,3284,2650
01/05/2018,07:11,313.23,313.26,313.12,313.21,4022,1157
